codigo_suministro,sed_id,alimentador_id,score_anomalia,percentil_prioridad,consumo_diario_promedio,tendencia_mensual,meses_cero_pct,prioridad
SUM_001018,SED_0501,ALIM_311,99.99,0.007,0.0,0.0,100.0,CRITICO
SUM_001696,SED_0450,ALIM_311,99.99,0.013,0.0,0.0,100.0,CRITICO
SUM_010475,SED_2789,ALIM_311,99.98,0.02,0.0,0.0,100.0,CRITICO
SUM_002465,SED_0853,ALIM_311,99.97,0.033,0.0,0.0,100.0,CRITICO
SUM_002545,SED_0853,ALIM_311,99.97,0.027,0.0,0.0,100.0,CRITICO
SUM_014439,SED_0933,ALIM_311,99.96,0.04,0.0,0.0,100.0,CRITICO
SUM_015990,SED_1041,ALIM_311,99.95,0.054,0.0,0.0,100.0,CRITICO
SUM_017318,SED_1009,ALIM_311,99.95,0.047,0.0,0.0,100.0,CRITICO
SUM_010994,SED_1041,ALIM_311,99.94,0.06,0.0,0.0,100.0,CRITICO
SUM_001532,SED_1693,ALIM_311,99.93,0.074,0.0,0.0,100.0,CRITICO
SUM_012465,SED_0515,ALIM_311,99.93,0.067,0.0,0.0,100.0,CRITICO
SUM_014449,SED_0837,ALIM_311,99.92,0.08,0.0,0.0,100.0,CRITICO
SUM_003712,SED_2181,ALIM_311,99.91,0.094,0.0,0.0,100.0,CRITICO
SUM_004819,SED_2181,ALIM_311,99.91,0.087,0.0,0.0,100.0,CRITICO
SUM_000975,SED_2181,ALIM_311,99.9,0.1,0.0,0.0,100.0,CRITICO
SUM_003433,SED_1041,ALIM_311,99.89,0.114,0.0,0.0,100.0,CRITICO
SUM_011516,SED_2181,ALIM_311,99.89,0.107,0.0,0.0,100.0,CRITICO
SUM_001391,SED_2002,ALIM_311,99.88,0.12,0.0,0.0,100.0,CRITICO
SUM_005413,SED_2789,ALIM_311,99.87,0.134,0.0,0.0,100.0,CRITICO
SUM_019064,SED_0061,ALIM_311,99.87,0.127,0.0,0.0,100.0,CRITICO
SUM_006912,SED_0670,ALIM_311,99.86,0.14,0.0,0.0,100.0,CRITICO
SUM_005831,SED_1361,ALIM_311,99.85,0.154,0.0,0.0,100.0,CRITICO
SUM_014523,SED_1822,ALIM_311,99.85,0.147,0.0,0.0,100.0,CRITICO
SUM_019402,SED_2154,ALIM_311,99.84,0.161,0.0,0.0,100.0,CRITICO
SUM_010835,SED_1777,ALIM_311,99.83,0.167,0.0,0.0,100.0,CRITICO
SUM_014007,SED_1523,ALIM_311,99.83,0.174,0.0,0.0,100.0,CRITICO
SUM_000125,SED_1528,ALIM_311,99.82,0.181,0.0,0.0,100.0,CRITICO
SUM_000950,SED_1886,ALIM_311,99.81,0.194,0.0,0.0,100.0,CRITICO
SUM_015191,SED_0229,ALIM_311,99.81,0.187,0.0,0.0,100.0,CRITICO
SUM_016083,SED_0670,ALIM_311,99.8,0.201,0.0,0.0,100.0,CRITICO
SUM_004816,SED_0670,ALIM_311,99.79,0.214,0.0,0.0,100.0,CRITICO
SUM_010036,SED_0335,ALIM_311,99.79,0.207,0.0,0.0,100.0,CRITICO
SUM_012225,SED_1206,ALIM_311,99.78,0.221,0.0,0.0,100.0,CRITICO
SUM_000802,SED_1206,ALIM_311,99.77,0.227,0.0,0.0,100.0,CRITICO
SUM_014285,SED_2558,ALIM_311,99.77,0.234,0.0,0.0,100.0,CRITICO
SUM_004317,SED_0742,ALIM_311,99.76,0.241,0.0,0.0,100.0,CRITICO
SUM_002646,SED_1041,ALIM_311,99.75,0.247,0.0,0.0,100.0,CRITICO
SUM_004882,SED_2329,ALIM_311,99.75,0.254,0.0,0.0,100.0,CRITICO
SUM_008321,SED_1600,ALIM_311,99.74,0.261,0.0,0.0,100.0,CRITICO
SUM_011694,SED_0335,ALIM_311,99.73,0.274,0.0,0.0,100.0,CRITICO
SUM_017920,SED_0670,ALIM_311,99.73,0.268,0.0,0.0,100.0,CRITICO
SUM_010084,SED_0169,ALIM_311,99.72,0.281,0.0,0.0,100.0,CRITICO
SUM_007111,SED_0090,ALIM_311,99.71,0.294,0.0,0.0,100.0,CRITICO
SUM_018435,SED_1361,ALIM_311,99.71,0.288,0.0,0.0,100.0,CRITICO
SUM_015050,SED_1741,ALIM_311,99.7,0.301,0.0,-0.0006,91.7,CRITICO
SUM_008636,SED_2002,ALIM_311,99.69,0.314,0.0,-0.0003,91.7,CRITICO
SUM_018131,SED_0169,ALIM_311,99.69,0.308,0.0,0.0003,91.7,CRITICO
SUM_016900,SED_0853,ALIM_311,99.68,0.321,0.01,-0.0019,83.3,CRITICO
SUM_001695,SED_1565,ALIM_311,99.67,0.334,0.38,-0.1737,91.7,CRITICO
SUM_007992,SED_0169,ALIM_311,99.67,0.328,0.01,-0.0035,91.7,CRITICO
SUM_007082,SED_2170,ALIM_311,99.66,0.341,0.0,0.0006,91.7,CRITICO
SUM_004871,SED_2475,ALIM_311,99.65,0.354,0.0,-0.0003,91.7,CRITICO
SUM_005298,SED_1528,ALIM_311,99.65,0.348,0.01,-0.0024,91.7,CRITICO
SUM_018390,SED_2105,ALIM_311,99.64,0.361,0.0,-0.0006,91.7,CRITICO
SUM_002448,SED_2604,ALIM_311,99.63,0.375,0.0,-0.0012,91.7,CRITICO
SUM_017705,SED_0169,ALIM_311,99.63,0.368,0.0,-0.0012,91.7,CRITICO
SUM_002099,SED_2558,ALIM_311,99.62,0.381,0.0,-0.0009,91.7,CRITICO
SUM_002484,SED_2181,ALIM_311,99.61,0.395,0.42,-0.1923,91.7,CRITICO
SUM_004530,SED_2558,ALIM_311,99.61,0.388,0.0,-0.0009,91.7,CRITICO
SUM_011609,SED_2475,ALIM_311,99.6,0.401,0.01,0.0003,91.7,CRITICO
SUM_010323,SED_1594,ALIM_311,99.59,0.415,0.03,-0.0026,83.3,CRITICO
SUM_012827,SED_2154,ALIM_311,99.59,0.408,0.51,-0.2357,91.7,CRITICO
SUM_001302,SED_1565,ALIM_311,99.58,0.421,0.17,-0.0355,83.3,CRITICO
SUM_000112,SED_1871,ALIM_311,99.57,0.435,0.02,-0.0039,83.3,CRITICO
SUM_016885,SED_0212,ALIM_311,99.57,0.428,0.06,-0.0123,83.3,CRITICO
SUM_016312,SED_1830,ALIM_311,99.56,0.441,0.14,0.0291,91.7,CRITICO
SUM_007666,SED_1207,ALIM_311,99.55,0.448,0.14,-0.0524,91.7,CRITICO
SUM_016750,SED_0742,ALIM_311,99.55,0.455,0.05,-0.0216,91.7,CRITICO
SUM_008333,SED_0035,ALIM_311,99.54,0.462,0.0,0.0009,91.7,CRITICO
SUM_002595,SED_0151,ALIM_311,99.53,0.468,0.03,-0.0091,83.3,CRITICO
SUM_002710,SED_1600,ALIM_311,99.53,0.475,0.19,-0.0889,91.7,CRITICO
SUM_008122,SED_1777,ALIM_311,99.52,0.482,4.47,-4.7551,75.0,CRITICO
SUM_004930,SED_1538,ALIM_311,99.51,0.488,0.12,-0.0242,91.7,CRITICO
SUM_009588,SED_1830,ALIM_311,99.51,0.495,0.02,-0.0084,91.7,CRITICO
SUM_008118,SED_0063,ALIM_311,99.5,0.502,1.74,-3.4857,91.7,CRITICO
SUM_005770,SED_1041,ALIM_311,99.49,0.508,0.05,-0.0198,83.3,CRITICO
SUM_008981,SED_2002,ALIM_311,99.48,0.515,0.03,-0.0052,83.3,CRITICO
SUM_009471,SED_0035,ALIM_311,99.48,0.522,0.1,-0.0457,91.7,CRITICO
SUM_013673,SED_0828,ALIM_311,99.47,0.528,0.28,0.035,91.7,CRITICO
SUM_000373,SED_2475,ALIM_311,99.46,0.535,0.06,-0.0121,91.7,CRITICO
SUM_015299,SED_2558,ALIM_311,99.46,0.542,0.05,-0.0113,91.7,CRITICO
SUM_012614,SED_2738,ALIM_311,99.45,0.548,0.0,0.0008,91.7,CRITICO
SUM_008171,SED_0974,ALIM_311,99.44,0.562,3.13,-3.7313,83.3,CRITICO
SUM_011885,SED_1207,ALIM_311,99.44,0.555,0.03,-0.01,83.3,CRITICO
SUM_004024,SED_2181,ALIM_311,99.43,0.569,0.42,-0.1923,91.7,CRITICO
SUM_005329,SED_0169,ALIM_311,99.42,0.582,0.12,-0.0571,91.7,CRITICO
SUM_005946,SED_1942,ALIM_311,99.42,0.575,0.39,-0.1158,91.7,CRITICO
SUM_011734,SED_0063,ALIM_311,99.41,0.589,0.12,0.0153,83.3,CRITICO
SUM_000353,SED_0035,ALIM_311,99.4,0.602,0.42,-0.1598,91.7,CRITICO
SUM_013220,SED_2170,ALIM_311,99.4,0.595,0.12,-0.0254,91.7,CRITICO
SUM_002995,SED_0212,ALIM_311,99.39,0.609,0.86,0.1801,91.7,CRITICO
SUM_007744,SED_2362,ALIM_311,99.38,0.622,0.11,0.0224,83.3,CRITICO
SUM_009679,SED_2295,ALIM_311,99.38,0.615,0.39,0.1142,75.0,CRITICO
SUM_013612,SED_0063,ALIM_311,99.37,0.629,0.08,-0.0032,91.7,CRITICO
SUM_017567,SED_2295,ALIM_311,99.36,0.635,1.35,0.3971,75.0,CRITICO
SUM_017696,SED_0539,ALIM_311,99.36,0.642,1.67,-2.5,91.7,CRITICO
SUM_019702,SED_0515,ALIM_311,99.35,0.649,0.16,-0.0757,91.7,CRITICO
SUM_000596,SED_0515,ALIM_311,99.34,0.662,0.26,-0.119,91.7,CRITICO
SUM_018541,SED_1216,ALIM_311,99.34,0.655,0.71,0.3256,83.3,CRITICO
SUM_009353,SED_0151,ALIM_311,99.33,0.669,0.07,0.0268,75.0,CRITICO
SUM_008593,SED_0063,ALIM_311,99.32,0.676,1.67,-2.5,91.7,CRITICO
SUM_011186,SED_1777,ALIM_311,99.32,0.682,0.02,-0.0069,83.3,CRITICO
SUM_009460,SED_2475,ALIM_311,99.31,0.689,0.06,0.0241,83.3,CRITICO
SUM_002934,SED_2181,ALIM_311,99.3,0.702,0.04,0.0164,83.3,CRITICO
SUM_014470,SED_1693,ALIM_311,99.3,0.696,0.14,0.0581,83.3,CRITICO
SUM_002388,SED_1019,ALIM_311,99.29,0.709,0.22,-0.0092,91.7,CRITICO
SUM_005365,SED_2181,ALIM_311,99.28,0.716,0.26,-0.0979,83.3,CRITICO
SUM_014821,SED_2002,ALIM_311,99.28,0.722,0.26,0.0964,91.7,CRITICO
SUM_014793,SED_2789,ALIM_311,99.27,0.729,0.45,0.0779,66.7,CRITICO
SUM_005302,SED_2105,ALIM_311,99.26,0.736,0.19,-0.0864,83.3,CRITICO
SUM_009425,SED_2185,ALIM_311,99.26,0.742,0.1,-0.0481,91.7,CRITICO
SUM_004936,SED_1361,ALIM_311,99.25,0.749,0.16,0.0209,75.0,CRITICO
SUM_011033,SED_2475,ALIM_311,99.24,0.756,0.98,0.451,83.3,CRITICO
SUM_011672,SED_0035,ALIM_311,99.24,0.762,0.8,0.101,83.3,CRITICO
SUM_007099,SED_1538,ALIM_311,99.23,0.769,0.17,0.0784,83.3,CRITICO
SUM_007283,SED_2738,ALIM_311,99.22,0.776,0.04,0.0159,83.3,CRITICO
SUM_007836,SED_1538,ALIM_311,99.22,0.783,0.05,-0.0216,91.7,CRITICO
SUM_013763,SED_2295,ALIM_311,99.21,0.789,0.11,0.051,83.3,CRITICO
